,salary,comission,age,elevel,car,zipcode,hvalue,hyears,loan,class,datetime
0,49004.74218102226,58522.0143817394,45,4,5,8,90709.11153767836,11,55245.12795062303,1,2022-07-08 00:00:00
1,51444.057809661805,21959.259287748955,37,3,12,5,242040.6563588608,20,359459.38024968276,1,2022-07-08 00:00:01
2,55446.28133536867,25848.225670367152,56,2,12,1,994625.3302275612,18,390520.9636974458,0,2022-07-08 00:00:02
3,102269.28864965576,0.0,69,0,19,7,118422.02845320302,18,262346.62779221486,1,2022-07-08 00:00:03
4,48160.0648671619,71909.08330622966,69,0,4,3,730907.7560454723,7,83714.98533926441,1,2022-07-08 00:00:04
5,35400.39708438277,59582.457365600334,53,1,6,1,717094.796097987,22,350475.866016797,0,2022-07-08 00:00:05
6,100492.35380387155,0.0,20,2,7,2,990554.8182756484,20,102248.83881255492,1,2022-07-08 00:00:06
7,131545.4097115024,0.0,55,3,13,0,484701.90373262076,13,327852.56998675433,0,2022-07-08 00:00:07
8,57524.328422788596,20841.606942633764,20,3,10,7,221552.43427922783,1,32555.74789899951,1,2022-07-08 00:00:08
9,71658.49765078796,68520.47731108293,73,3,11,7,175990.80906090187,12,106723.70174734252,0,2022-07-08 00:00:09
10,79923.61331864879,0.0,71,3,5,5,201871.1675622662,10,31322.897687758257,0,2022-07-08 00:00:10
11,134554.92989194643,0.0,20,3,10,7,228830.9563604303,14,227983.4235457654,1,2022-07-08 00:00:11
12,137613.56187621332,0.0,57,3,12,8,106741.8771846693,16,126131.68279873177,0,2022-07-08 00:00:12
13,24234.329208210926,49228.91084197811,65,0,11,3,642640.851605347,24,385333.7665166785,1,2022-07-08 00:00:13
14,104855.97341459668,0.0,35,2,10,5,380009.81667133764,29,48635.66449208201,1,2022-07-08 00:00:14
15,115606.61620790523,0.0,60,0,10,8,79604.27336545984,16,57581.00105706776,1,2022-07-08 00:00:15
16,62868.63510744949,39777.88139536517,74,1,2,2,750204.2113650591,27,26968.072739977644,1,2022-07-08 00:00:16
17,109583.10361937842,0.0,38,1,3,5,382800.7193803444,19,95925.59416258012,0,2022-07-08 00:00:17
18,76821.46667535973,0.0,44,1,6,2,430829.33736599295,29,259033.46454744707,0,2022-07-08 00:00:18
19,128600.83770310218,0.0,52,1,14,3,599110.7535916273,1,201166.21818914532,0,2022-07-08 00:00:19
20,93944.7962415358,0.0,44,3,5,8,126458.0328186068,7,300520.2157562831,0,2022-07-08 00:00:20
21,110997.42357737456,0.0,63,3,19,0,1151367.0481869038,17,240405.09132943212,0,2022-07-08 00:00:21
22,91443.58826548545,0.0,36,0,16,5,344042.0371422238,2,4310.251936161746,0,2022-07-08 00:00:22
23,55368.813863377465,23502.776775629143,50,0,11,2,644509.1329321868,17,222816.0865049963,1,2022-07-08 00:00:23
24,133706.9352660813,0.0,77,4,10,0,1228583.7720914523,20,297663.4818785252,0,2022-07-08 00:00:24
25,139752.80516957236,0.0,58,4,8,5,455445.5361125786,15,284084.74206328567,1,2022-07-08 00:00:25
26,108426.82796462848,0.0,50,3,1,0,863476.6821446221,5,354474.0244161027,0,2022-07-08 00:00:26
27,127885.05334725,0.0,60,4,15,7,164999.20674986942,11,98707.21825733219,0,2022-07-08 00:00:27
28,94934.77210325804,0.0,63,2,9,0,872099.6937090821,28,372646.8278131714,0,2022-07-08 00:00:28
29,45222.842198472244,48039.44438919942,74,4,11,4,295395.2262343738,6,56150.384263296495,0,2022-07-08 00:00:29
30,92977.12545242703,0.0,37,1,3,4,262547.1118929182,2,108731.14939050305,0,2022-07-08 00:00:30
31,44753.483177714515,34684.60474440691,23,2,5,3,757019.2186583513,16,128799.77290035227,1,2022-07-08 00:00:31
32,119360.21097507133,0.0,24,1,19,5,385020.2564226106,20,349929.6308013644,0,2022-07-08 00:00:32
33,98383.23505971224,0.0,34,0,5,2,977164.2803340504,6,130654.52475729222,0,2022-07-08 00:00:33
34,84576.01593857084,0.0,36,2,15,2,1037081.4817726986,8,311219.617519251,1,2022-07-08 00:00:34
35,70945.7146709679,84244.36856775355,38,1,16,5,291139.10996061924,25,55959.984777562146,0,2022-07-08 00:00:35
