,salary,comission,age,elevel,car,zipcode,hvalue,hyears,loan,class,datetime
0,53114.318559557156,22015.767748913986,53,3,12,8,59479.97019180398,20,394699.61005854735,1,2022-07-08 00:00:00.000
1,124367.08348918872,0.0,58,2,9,3,324442.44630181964,12,173906.57145761483,1,2022-07-08 00:00:00.001
2,119422.12225723335,0.0,59,3,5,0,978915.5397361167,11,12447.986003225164,1,2022-07-08 00:00:00.002
3,139766.20489203912,0.0,66,0,4,7,208715.3635564209,3,92863.67140151015,0,2022-07-08 00:00:00.003
4,68034.16303401164,78303.47493893676,43,1,16,4,536755.3669094665,22,237979.62451066123,1,2022-07-08 00:00:00.004
5,75295.89411895422,0.0,63,0,17,6,337677.13018719887,9,320621.50276229065,0,2022-07-08 00:00:00.005
6,67477.19744340098,26506.329344189016,70,2,6,7,140827.38352634112,25,265329.6505193741,0,2022-07-08 00:00:00.006
7,140968.87030873488,0.0,24,2,8,8,93357.5533274693,18,481963.1366072775,0,2022-07-08 00:00:00.007
8,87643.26737077117,0.0,20,3,0,4,743423.5570474262,20,74205.44093603942,0,2022-07-08 00:00:00.008
9,139013.07636243466,0.0,39,0,19,6,402797.99661337514,17,96951.29043598744,0,2022-07-08 00:00:00.009
10,110766.87090951519,0.0,34,0,9,8,115113.92511164193,19,94926.48501437323,0,2022-07-08 00:00:00.010
11,138937.60175649938,0.0,66,2,1,3,604715.6283673068,16,295535.8167093975,0,2022-07-08 00:00:00.011
12,114661.30336816066,0.0,30,3,5,3,700971.5118881857,9,399740.01139243995,0,2022-07-08 00:00:00.012
13,27881.46867215605,20591.255454889782,46,3,1,2,943535.4269751899,11,491913.16738074203,1,2022-07-08 00:00:00.013
14,115533.03803276925,0.0,44,2,5,8,140489.30639274334,19,203061.419032926,1,2022-07-08 00:00:00.014
15,60005.34015487482,60046.84603949804,73,4,8,1,494701.6476881179,9,98461.01269179536,0,2022-07-08 00:00:00.015
16,136870.0397438262,0.0,47,2,15,4,303399.4617603088,9,417977.85521072545,1,2022-07-08 00:00:00.016
17,126752.31258767507,0.0,23,4,0,2,716185.1803067768,18,221489.8040851072,0,2022-07-08 00:00:00.017
18,95569.57504614924,0.0,29,1,19,2,864550.9465992241,23,383619.0579975491,0,2022-07-08 00:00:00.018
19,56235.462368350876,46850.74821976767,51,0,12,4,295909.93951274705,11,142036.59272475538,1,2022-07-08 00:00:00.019
20,137747.23393839243,0.0,26,2,7,3,540492.1422143086,2,60390.592650503175,0,2022-07-08 00:00:00.020
21,138411.06781254476,0.0,21,3,11,1,536891.0288872662,7,43863.15907310295,0,2022-07-08 00:00:00.021
22,22624.370824453188,58635.073407328906,49,4,11,4,438817.02975634363,8,173069.73903964506,1,2022-07-08 00:00:00.022
23,24047.67401019585,75727.60857014549,74,4,12,0,456670.405830434,2,406038.68253626133,0,2022-07-08 00:00:00.023
24,72587.03976163777,46914.532002958,23,1,4,2,560052.0477806041,29,265046.2988278261,0,2022-07-08 00:00:00.024
25,36452.298827779014,27710.384707331723,77,3,10,0,515882.9323422762,11,181309.9367839463,0,2022-07-08 00:00:00.025
26,31711.27547784986,53883.63011242317,38,3,19,6,273340.43284475664,7,321760.0462567683,0,2022-07-08 00:00:00.026
27,86715.49644507632,0.0,27,2,9,3,882261.7790417661,1,242200.28457871274,0,2022-07-08 00:00:00.027
28,132622.87563675948,0.0,58,3,10,5,375194.0532930719,20,193666.83035523375,1,2022-07-08 00:00:00.028
29,118146.09876433323,0.0,76,2,16,2,832160.4729726934,29,30474.918168056254,0,2022-07-08 00:00:00.029
30,107512.48287604099,0.0,30,0,2,2,506478.302503492,17,39922.06131136655,0,2022-07-08 00:00:00.030
31,115979.39148949328,0.0,23,3,13,2,783267.938620375,30,234605.17049000328,0,2022-07-08 00:00:00.031
32,59732.79501246509,82198.74918407982,46,0,0,8,121994.81613493508,28,496578.74351113173,1,2022-07-08 00:00:00.032
33,99763.50043130988,0.0,43,1,0,5,553676.0685404704,23,452665.16303880943,1,2022-07-08 00:00:00.033
34,22995.516485545202,47779.35798103157,55,1,3,1,732395.4408488928,25,348035.6485823286,1,2022-07-08 00:00:00.034
35,34728.91030461826,42399.08969907642,47,1,6,1,621254.1912056637,1,238137.75378630063,1,2022-07-08 00:00:00.035
36,105676.31414680953,0.0,31,0,15,3,430261.7115023174,13,380345.7243381516,0,2022-07-08 00:00:00.036
37,138897.5163506572,0.0,43,3,15,8,99950.55634673899,15,134535.58626734267,1,2022-07-08 00:00:00.037
38,83391.08740747583,0.0,33,1,16,6,401442.4943375508,14,6020.738978640916,0,2022-07-08 00:00:00.038
39,124310.54759301736,0.0,69,3,2,4,599827.3860614876,6,411189.78249247244,0,2022-07-08 00:00:00.039
40,56535.252066173176,82633.20486510638,53,2,14,3,765051.7733778047,16,74096.81144504405,1,2022-07-08 00:00:00.040
41,135356.39869459954,0.0,34,1,1,1,1145642.6690678755,26,231977.27129231067,0,2022-07-08 00:00:00.041
42,137307.65221322468,0.0,24,1,5,8,61731.25529939947,2,89276.64466710322,0,2022-07-08 00:00:00.042
43,96039.20528260866,0.0,24,1,19,4,260088.17235709509,6,238216.84791613472,0,2022-07-08 00:00:00.043
44,34626.92022246015,48720.986304779704,78,1,7,8,70917.53685014218,13,335851.58274830645,0,2022-07-08 00:00:00.044
45,38949.553840426015,82432.27960325874,54,4,5,5,271702.6290848699,16,457022.83818638854,1,2022-07-08 00:00:00.045
46,42617.832812345994,51924.07448602446,74,2,1,3,665113.4394371754,15,112733.20186148389,0,2022-07-08 00:00:00.046
47,107137.0521218059,0.0,36,2,15,4,430251.38694922446,19,463137.7544766282,0,2022-07-08 00:00:00.047
48,130778.94478488794,0.0,44,2,10,4,361979.5589613701,13,379633.4196847788,1,2022-07-08 00:00:00.048
49,112729.21424984567,0.0,62,3,15,4,299865.45767219365,2,213556.13587477102,0,2022-07-08 00:00:00.049
50,87386.27299711395,0.0,66,0,0,8,120071.90034546702,25,460437.2452528344,0,2022-07-08 00:00:00.050
51,87254.48305589166,0.0,77,3,1,1,476879.92303023295,12,40686.65191312859,0,2022-07-08 00:00:00.051
52,120154.53871342653,0.0,67,1,18,2,415458.0013613046,26,286599.75928637135,0,2022-07-08 00:00:00.052
