,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay,datetime
0,4,269,253,135,3,15,205,1,2022-07-12 00:00:00.000
1,14,1558,217,60,3,15,222,1,2022-07-12 00:00:00.001
2,1,2400,154,80,3,20,165,1,2022-07-12 00:00:00.002
3,1,2466,253,80,3,20,195,1,2022-07-12 00:00:00.003
4,2,108,14,252,3,30,202,0,2022-07-12 00:00:00.004
5,4,1094,154,135,3,30,181,1,2022-07-12 00:00:00.005
6,5,1768,154,197,3,30,220,0,2022-07-12 00:00:00.006
7,5,2722,217,85,3,30,228,0,2022-07-12 00:00:00.007
8,5,2606,253,197,3,35,216,1,2022-07-12 00:00:00.008
9,1,2538,153,208,3,40,200,1,2022-07-12 00:00:00.009
10,4,223,14,252,3,49,201,1,2022-07-12 00:00:00.010
11,5,1646,217,16,3,50,212,1,2022-07-12 00:00:00.011
12,5,2055,261,16,3,50,210,0,2022-07-12 00:00:00.012
13,1,2408,154,80,3,55,170,0,2022-07-12 00:00:00.013
14,2,132,14,214,3,55,215,0,2022-07-12 00:00:00.014
15,14,498,79,60,3,55,179,0,2022-07-12 00:00:00.015
16,3,98,79,148,3,59,213,0,2022-07-12 00:00:00.016
17,4,1496,153,135,3,60,162,0,2022-07-12 00:00:00.017
18,5,1450,153,197,3,60,181,0,2022-07-12 00:00:00.018
19,4,507,207,135,3,75,167,0,2022-07-12 00:00:00.019
20,2,128,98,252,3,80,206,0,2022-07-12 00:00:00.020
21,5,2223,14,261,3,85,270,0,2022-07-12 00:00:00.021
22,2,112,14,252,3,90,200,0,2022-07-12 00:00:00.022
23,9,17,153,128,3,100,380,1,2022-07-12 00:00:00.023
24,14,122,14,217,3,113,327,1,2022-07-12 00:00:00.024
25,2,114,14,252,3,150,200,0,2022-07-12 00:00:00.025
26,3,766,37,173,3,240,169,0,2022-07-12 00:00:00.026
27,3,768,225,173,3,262,180,0,2022-07-12 00:00:00.027
28,9,206,128,203,3,300,36,1,2022-07-12 00:00:00.028
29,12,4746,29,197,3,300,85,0,2022-07-12 00:00:00.029
30,12,6466,144,154,3,300,53,0,2022-07-12 00:00:00.030
31,14,1011,96,60,3,300,111,0,2022-07-12 00:00:00.031
32,14,1983,35,60,3,300,135,0,2022-07-12 00:00:00.032
33,9,108,128,150,3,302,41,0,2022-07-12 00:00:00.033
34,12,6900,184,208,3,302,44,0,2022-07-12 00:00:00.034
35,0,3975,112,197,3,305,68,0,2022-07-12 00:00:00.035
36,9,102,128,143,3,305,49,0,2022-07-12 00:00:00.036
37,12,4829,205,197,3,305,75,0,2022-07-12 00:00:00.037
38,11,6338,120,16,3,315,93,1,2022-07-12 00:00:00.038
39,12,6505,163,253,3,315,95,0,2022-07-12 00:00:00.039
40,14,149,252,217,3,315,166,1,2022-07-12 00:00:00.040
41,14,1640,173,60,3,315,97,0,2022-07-12 00:00:00.041
42,14,908,277,60,3,315,96,0,2022-07-12 00:00:00.042
43,9,106,128,203,3,317,36,0,2022-07-12 00:00:00.043
44,0,3854,82,197,3,320,58,1,2022-07-12 00:00:00.044
45,5,1276,197,16,3,320,158,0,2022-07-12 00:00:00.045
46,12,4651,99,197,3,320,62,1,2022-07-12 00:00:00.046
47,4,1585,178,135,3,325,64,0,2022-07-12 00:00:00.047
48,4,222,198,135,3,325,70,0,2022-07-12 00:00:00.048
49,6,4966,288,16,3,325,69,0,2022-07-12 00:00:00.049
50,14,1521,45,60,3,325,83,0,2022-07-12 00:00:00.050
51,16,2827,170,135,3,325,85,0,2022-07-12 00:00:00.051
52,12,4719,168,261,3,328,87,1,2022-07-12 00:00:00.052
53,0,3702,240,197,3,330,50,0,2022-07-12 00:00:00.053
54,0,3775,12,85,3,330,120,1,2022-07-12 00:00:00.054
55,0,3886,84,16,3,330,135,1,2022-07-12 00:00:00.055
56,1,1711,35,183,3,330,210,0,2022-07-12 00:00:00.056
57,4,611,96,135,3,330,233,0,2022-07-12 00:00:00.057
58,5,1143,54,16,3,330,72,0,2022-07-12 00:00:00.058
59,5,1511,195,85,3,330,80,0,2022-07-12 00:00:00.059
60,5,1518,173,16,3,330,84,0,2022-07-12 00:00:00.060
61,5,1698,147,16,3,330,80,0,2022-07-12 00:00:00.061
62,5,1842,244,16,3,330,142,0,2022-07-12 00:00:00.062
63,5,1972,277,16,3,330,85,0,2022-07-12 00:00:00.063
64,5,2054,223,16,3,330,75,0,2022-07-12 00:00:00.064
65,5,2112,27,16,3,330,58,0,2022-07-12 00:00:00.065
66,5,2306,162,16,3,330,97,0,2022-07-12 00:00:00.066
67,5,2711,245,16,3,330,65,0,2022-07-12 00:00:00.067
68,5,2995,33,16,3,330,67,0,2022-07-12 00:00:00.068
69,6,4940,205,16,3,330,147,0,2022-07-12 00:00:00.069
70,6,5014,136,16,3,330,132,0,2022-07-12 00:00:00.070
71,6,5044,87,16,3,330,68,0,2022-07-12 00:00:00.071
72,6,5117,81,16,3,330,70,0,2022-07-12 00:00:00.072
73,6,5393,180,16,3,330,57,0,2022-07-12 00:00:00.073
74,6,5532,47,16,3,330,64,1,2022-07-12 00:00:00.074
75,6,7108,229,134,3,330,114,0,2022-07-12 00:00:00.075
76,12,6917,6,262,3,330,65,0,2022-07-12 00:00:00.076
77,12,7781,89,261,3,330,70,0,2022-07-12 00:00:00.077
78,14,1289,35,216,3,330,84,0,2022-07-12 00:00:00.078
79,14,1420,216,60,3,330,102,0,2022-07-12 00:00:00.079
80,14,1732,16,60,3,330,68,1,2022-07-12 00:00:00.080
81,14,347,214,217,3,330,148,0,2022-07-12 00:00:00.081
82,14,913,234,60,3,330,72,0,2022-07-12 00:00:00.082
